longitude latitude VSDX file
-102.00 -12.80 -0.088761 point0_VSDX.nc
-135.00 -5.00 -0.097699 point10_VSDX.nc
-127.40 -18.40 -0.077788 point1_VSDX.nc
-129.60 -18.40 -0.080177 point2_VSDX.nc
-132.40 -18.40 -0.086903 point3_VSDX.nc
-133.80 -14.00 -0.101416 point4_VSDX.nc
-134.20 -12.00 -0.100885 point5_VSDX.nc
-124.60 -9.00 -0.091327 point6_VSDX.nc
-120.00 -5.00 -0.077965 point7_VSDX.nc
-123.80 -5.00 -0.087611 point8_VSDX.nc
-129.20 -5.00 -0.092832 point9_VSDX.nc
