Number,Depth,Measured value,Keras-Predicted value
122,1156,43.27170455,32.661896
123,4439,88.64362765,84.668686
124,3954,25.81733653,33.091103
125,4067,19.59025286,31.18457
126,4303,87.06879526,101.65021
127,4249,136.5190507,130.27682
128,4360,258.4060464,285.06635
129,4335,39.72282752,58.766586
130,4266,95.18884548,103.056854
131,4480,29.05733722,36.757046
132,4540,77.93740653,79.136154
133,4686,75.04293795,58.961212
134,10063,15.4613672,77.97403
135,10909,8.823529412,82.733734
136,5533,433.4280248,326.3374
137,10911,41.5443306,85.73862
138,6706,121.9674667,95.934235
139,7022,73.07002054,70.2787
140,6980,14.19438613,21.03714
141,10909,147.4701246,85.73959
142,7061,54.72827134,85.12964
143,7143,74.43365891,92.66768
144,7121,100.372158,82.79456
145,5400,23.23713351,25.703545
146,10900,165.8978631,82.732895
147,1445,18.01182353,15.817398
148,1903,9.65455,7.8818
149,2809,51.75408,50.8451
150,2575,6.29375,4.829354
151,2159,13.08214286,10.548687
152,5377.657543,16.46562667,16.897926
153,4225.001007,45.93146384,45.786945
154,4963.597045,40.31632038,39.696724
155,5678.531482,10.93914813,8.219232
156,2200,17.5330538,17.409708
157,63.588,0.396578991,1.4481968
158,63.588,0.279407925,1.195769
159,63.588,0.730065869,2.0973353
160,13.01124402,4.050513009,22.657722
161,22.52427997,0.577147162,2.297175
162,17.52100629,133.5979844,130.94287
163,17.52100629,120.3650195,115.495285
164,4832.760761,21.68643369,18.392902
165,627.9548224,0.47114054,0.37057072
166,627.9548224,0.353355405,2.116116
167,1648,23.9398287,25.652405
168,5256.068408,2.16315813,1.6112942
169,24.5,179.0708609,164.80222
170,26,263.5180366,244.30229
171,13.94232777,2.188447809,6.923985
172,1273.700781,12.35612745,9.671375
173,2.194954646,2.461047691,8.427147
174,9.932786,7.182387671,9.344336
175,57.25098858,3.813499159,12.998383
176,12.44907092,5.522997561,6.42524
177,2.157967911,43.04752223,43.50411
178,2.157967911,64.61103583,60.185497
179,169.5,2.013184188,3.1020122
180,205.125,0.241544361,1.4165741
181,100,9.208500773,9.704285
182,33.51773944,7.173114724,3.6080651
183,7661.213943,0.945051009,1.2512115
184,12.78979513,0.165798423,5.7287784
185,2.290780552,2.270249614,5.0066257
186,46.53752467,1.328616323,0.662685
