longitude latitude VSDY file
-102.00 -12.80 0.034779 point0_VSDY.nc
-135.00 -5.00 0.037699 point10_VSDY.nc
-127.40 -18.40 0.029646 point1_VSDY.nc
-129.60 -18.40 0.023274 point2_VSDY.nc
-132.40 -18.40 0.015221 point3_VSDY.nc
-133.80 -14.00 0.020885 point4_VSDY.nc
-134.20 -12.00 0.024513 point5_VSDY.nc
-124.60 -9.00 0.043451 point6_VSDY.nc
-120.00 -5.00 0.052301 point7_VSDY.nc
-123.80 -5.00 0.050000 point8_VSDY.nc
-129.20 -5.00 0.049735 point9_VSDY.nc
