longitude latitude vo file
-101.92 -12.67 -0.005493 point0_vo.nc
-135.08 -5.00 0.002441 point10_vo.nc
-127.33 -18.50 -0.090335 point1_vo.nc
-129.50 -18.50 0.035401 point2_vo.nc
-132.33 -18.42 -0.025025 point3_vo.nc
-133.75 -14.00 -0.024415 point4_vo.nc
-134.25 -11.92 -0.068972 point5_vo.nc
-124.58 -9.00 -0.044557 point6_vo.nc
-120.00 -5.00 -0.101321 point7_vo.nc
-123.75 -5.00 -0.018311 point8_vo.nc
-129.17 -5.00 -0.060427 point9_vo.nc
