longitude latitude vo file
71.25 -67.17 0.017090 point0_vo.nc
76.17 -67.25 -0.021363 point1_vo.nc
68.00 -67.25 0.006104 point2_vo.nc
70.50 -66.83 0.004883 point3_vo.nc
73.08 -67.00 -0.001831 point4_vo.nc
73.83 -68.42 0.009766 point5_vo.nc
75.67 -66.00 0.051271 point6_vo.nc
77.83 -65.50 -0.006714 point7_vo.nc
77.17 -67.42 -0.023804 point8_vo.nc
