longitude latitude vo file
114.00 22.00 -0.020753 point0_vo.nc
113.83 22.08 -0.011597 point1_vo.nc
113.83 22.33 -0.015259 point2_vo.nc
113.75 22.42 0.003662 point3_vo.nc
113.75 22.58 0.009156 point4_vo.nc
113.67 22.67 0.006104 point5_vo.nc
113.58 22.83 nan point6_vo.nc
113.58 22.92 nan point7_vo.nc
113.50 23.00 nan point8_vo.nc
