longitude latitude uo file
114.00 22.00 -0.109256 point0_uo.nc
113.83 22.08 -0.108036 point1_uo.nc
113.83 22.33 -0.053713 point2_uo.nc
113.75 22.42 -0.020753 point3_uo.nc
113.75 22.58 -0.007324 point4_uo.nc
113.67 22.67 -0.013428 point5_uo.nc
113.58 22.83 nan point6_uo.nc
113.58 22.92 nan point7_uo.nc
113.50 23.00 nan point8_uo.nc
