longitude latitude uo file
71.25 -67.17 -0.052492 point0_uo.nc
76.17 -67.25 -0.016480 point1_uo.nc
68.00 -67.25 -0.036012 point2_uo.nc
70.50 -66.83 0.023804 point3_uo.nc
73.08 -67.00 -0.020142 point4_uo.nc
73.83 -68.42 -0.053102 point5_uo.nc
75.67 -66.00 -0.070193 point6_uo.nc
77.83 -65.50 -0.003662 point7_uo.nc
77.17 -67.42 0.002441 point8_uo.nc
