Number,Depth,Measured value,DNN-Predicted value
22,44.22,359.5848847,150.7985
44,45.81,107.3752359,73.93969
29,46,281.1559896,73.77027
186,46.53752467,1.328616323,2.2450247
28,47.52,190.2130497,164.55153
25,48.7,48.05435865,156.12813
26,50.6,143.7349221,159.79445
24,51,114.8830407,150.83565
23,52.7,191.6822655,146.06874
27,52.72,565.2638799,166.64333
213,52.96930422,1.091868202,2.9188168
199,56.44202091,5.051241416,2.8967714
211,56.7,0.327737138,2.75219
175,57.25098858,3.813499159,3.2567272
101,60,44.88824,31.717403
197,60.96211796,1.85940881,3.3622036
157,63.588,0.396578991,0.49655965
158,63.588,0.279407925,0.7282611
159,63.588,0.730065869,0.49655965
39,65.64,104.0031651,60.632767
43,68.96,84.65066354,77.38377
214,72.11836592,0.636039729,2.4093745
204,77.144,0.706301281,2.1960835
201,77.71748263,2.885637389,3.4194732
205,78,0.770962666,2.9236913
228,92.63125489,4197.410599,22.807653
207,92.8,1.333327729,2.9122972
209,93.38571429,0.151729242,0.8705678
2,93.68495074,272.5539152,215.57275
181,100,9.208500773,10.160892
1,120.2097505,1031.420894,217.36658
42,131.44,38.37633568,97.449104
40,138.75,92.04651952,80.42046
222,159.9597627,195.3391422,2.7879295
63,168.8,47.8498845,46.146675
179,169.5,2.013184188,2.2332304
180,205.125,0.241544361,3.428522
41,253.6,278.7172282,100.79223
69,311,31.32885055,34.321762
196,350.9377288,0.535197308,3.22719
62,353,70.36248901,36.749046
64,413.7,55.70475565,47.02723
61,487,81.5935123,47.102036
65,503.6,38.07041686,39.941254
165,627.9548224,0.47114054,12.646493
166,627.9548224,0.353355405,0.49655965
66,667,146.8969175,34.60526
4,725,329.8306678,200.20384
5,950,183.4879236,185.61311
3,1025,228.0361757,195.77113
122,1156,43.27170455,14.437999
105,1207,12.7,21.614513
110,1207,76.13179856,20.24356
172,1273.700781,12.35612745,2.9784122
114,1354,4.3,17.273285
116,1354,32.02162162,16.847008
117,1355,5.5,17.574772
120,1355,131.5146552,17.156393
100,1356,25.64605433,25.381037
104,1358,30.2,19.997633
118,1370,103.9710495,17.795368
108,1389,76.48746057,19.607563
109,1389,14.10861183,19.316446
113,1389,26.43472367,18.236904
103,1391,20.66520833,20.527863
106,1391,16.86520833,21.321445
111,1392,14.97601246,18.133373
102,1395,5.6,20.841084
107,1395,5.5,19.300776
119,1395,125.4225857,16.114958
115,1401,4.6,16.993355
112,1434,66.42873684,19.002283
147,1445,18.01182353,13.713419
6,1513,118.3852434,185.42317
121,1513,13.03177083,15.293086
167,1648,23.9398287,20.847631
148,1903,9.65455,13.508342
74,1936,124.333331,55.41059
75,1937,187.6560086,55.230824
7,2100,45.19393566,166.80815
73,2153,101.0470371,55.50487
151,2159,13.08214286,12.080344
156,2200,17.5330538,20.123154
85,2246,16.66406798,53.31858
97,2246,165.1736844,50.69104
77,2319,29.72217394,55.411957
98,2360,51.82871286,48.855736
193,2388.5,11.25962343,15.018732
92,2407,67.69770408,52.087593
90,2473,31.49014849,53.740513
93,2475,506.7801575,51.715057
96,2486,60.17112045,50.77686
78,2512,72.4792611,45.81231
79,2562,28.30247856,45.57492
89,2562,81.67312999,50.601273
150,2575,6.29375,11.751222
94,2590,104.005598,51.624275
76,2596,93.58634106,55.12503
81,2635,62.13681606,50.430634
99,2647,21.88331183,47.010155
95,2652,19.39595502,50.98574
91,2699,143.1004394,53.164124
72,2728,11.46259,56.244255
88,2800,20.54702428,46.63418
149,2809,51.75408,12.397176
86,2835,61.44183506,53.319923
71,2843,200.6015705,56.45201
67,2920,28.01077806,29.492617
82,2950,36.2520862,51.486195
83,2994,63.13605591,54.74267
70,3092,36.0590956,58.5691
68,3240,34.71589571,29.403975
87,3271,97.56278211,53.1467
84,3316,48.42767296,55.570076
80,3358,109.6833521,38.62377
124,3954,25.81733653,51.81477
125,4067,19.59025286,52.063663
153,4225.001007,45.93146384,27.724096
127,4249,136.5190507,60.642815
130,4266,95.18884548,59.801758
126,4303,87.06879526,54.343987
129,4335,39.72282752,59.027203
128,4360,258.4060464,62.687477
123,4439,88.64362765,55.04685
131,4480,29.05733722,61.487915
132,4540,77.93740653,66.39739
133,4686,75.04293795,61.85824
164,4832.760761,21.68643369,12.442821
154,4963.597045,40.31632038,30.239067
8,4967.165376,19.36564853,23.050072
17,5052.563524,30.00532425,23.555477
14,5053.833072,35.56215979,23.588879
12,5054.518702,9.812047667,23.417301
13,5074.862671,22.2877358,23.464306
18,5094.398449,13.36902632,23.514036
21,5103.903017,91.06645136,23.224857
16,5109.630256,22.4346033,23.610493
20,5146.276556,44.175448,23.655647
15,5164.348696,40.4464,23.607601
11,5168.602349,50.54264068,23.41202
9,5169.396519,29.67598313,22.81026
10,5216.091305,53.07344469,22.664165
19,5225.672002,6.333231206,23.461521
168,5256.068408,2.16315813,8.939207
152,5377.657543,16.46562667,25.750805
145,5400,23.23713351,30.225113
136,5533,433.4280248,33.945766
155,5678.531482,10.93914813,17.909986
138,6706,121.9674667,45.380356
140,6980,14.19438613,37.068832
139,7022,73.07002054,46.72747
142,7061,54.72827134,44.270798
144,7121,100.372158,42.448723
143,7143,74.43365891,42.2316
183,7661.213943,0.945051009,6.6331916
134,10063,15.4613672,48.91432
146,10900,165.8978631,42.170513
135,10909,8.823529412,47.739082
141,10909,147.4701246,45.803547
137,10911,41.5443306,47.58042
